Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,2.169,-1.851,10.846,3.186,1.825,0.52,0.926,4.311,4.63,7.291
4.2,2.168,-1.799,10.839,3.402,1.825,0.53,0.896,4.221,4.478,7.152
4.2,2.166,-1.751,10.832,3.587,1.825,0.54,0.861,4.116,4.304,6.985
4.2,2.165,-1.709,10.826,3.741,1.825,0.55,0.822,3.999,4.112,6.797
4.2,2.164,-1.673,10.82,3.861,1.825,0.56,0.781,3.873,3.906,6.592
4.2,2.163,-1.643,10.816,3.947,1.825,0.57,0.738,3.738,3.691,6.374
4.2,2.163,-1.619,10.814,4.0,1.825,0.58,0.694,3.599,3.471,6.148
4.2,2.163,-1.602,10.813,4.019,1.825,0.59,0.65,3.456,3.25,5.919
4.2,2.163,-1.592,10.814,4.004,1.825,0.6,0.606,3.314,3.032,5.692
4.2,2.164,-1.588,10.818,3.954,1.825,0.61,0.564,3.173,2.821,5.472
4.2,2.165,-1.593,10.824,3.869,1.825,0.62,0.524,3.037,2.622,5.264
4.2,2.167,-1.604,10.833,3.751,1.825,0.63,0.488,2.908,2.439,5.071
4.2,2.169,-1.623,10.844,3.6,1.825,0.64,0.455,2.789,2.276,4.9
4.2,2.172,-1.65,10.86,3.416,1.825,0.65,0.427,2.681,2.137,4.754
4.2,2.176,-1.685,10.878,3.199,1.825,0.66,0.405,2.587,2.027,4.639
4.2,2.18,-1.728,10.901,2.952,1.825,0.67,0.39,2.51,1.95,4.559
4.2,2.185,-1.779,10.927,2.675,1.825,0.68,0.382,2.452,1.909,4.52
4.2,2.191,-1.837,10.957,2.37,1.825,0.69,0.381,2.414,1.906,4.521
4.2,2.198,-1.903,10.992,2.039,1.825,0.7,0.387,2.394,1.937,4.559
4.2,2.206,-1.978,11.03,1.682,1.825,0.71,0.4,2.39,1.998,4.632
4.2,2.215,-2.059,11.073,1.304,1.825,0.72,0.418,2.402,2.088,4.736
4.2,2.224,-2.149,11.121,0.905,1.825,0.73,0.44,2.428,2.201,4.868
4.2,2.235,-2.245,11.173,0.489,1.825,0.74,0.467,2.467,2.336,5.024
4.2,2.246,-2.348,11.229,0.059,1.825,0.75,0.498,2.517,2.488,5.201
4.2,2.258,-2.457,11.289,-0.383,1.825,0.76,0.531,2.577,2.654,5.396
4.2,2.271,-2.572,11.354,-0.832,1.825,0.77,0.566,2.645,2.832,5.606
4.2,2.285,-2.692,11.424,-1.285,1.825,0.78,0.603,2.721,3.017,5.828
4.2,2.299,-2.817,11.497,-1.738,1.825,0.79,0.641,2.803,3.206,6.057
4.2,2.315,-2.945,11.576,-2.186,1.825,0.8,0.679,2.888,3.397,6.291
4.2,2.332,-3.076,11.658,-2.624,1.825,0.81,0.717,2.977,3.585,6.527
4.2,2.349,-3.209,11.745,-3.048,1.825,0.82,0.754,3.068,3.768,6.761
4.2,2.367,-3.341,11.836,-3.452,1.825,0.83,0.788,3.159,3.942,6.99
4.2,2.386,-3.473,11.931,-3.83,1.825,0.84,0.821,3.249,4.104,7.211
4.2,2.406,-3.601,12.031,-4.176,1.825,0.85,0.85,3.336,4.25,7.42
4.2,2.427,-3.724,12.135,-4.483,1.825,0.86,0.875,3.42,4.377,7.614
4.2,2.449,-3.839,12.244,-4.744,1.825,0.87,0.897,3.498,4.483,7.79
4.2,2.472,-3.944,12.358,-4.952,1.825,0.88,0.913,3.57,4.563,7.945
4.2,2.496,-4.036,12.478,-5.099,1.825,0.89,0.923,3.634,4.614,8.075
4.2,2.521,-4.109,12.604,-5.177,1.825,0.9,0.927,3.689,4.634,8.176
4.2,2.547,-4.161,12.736,-5.177,1.825,0.91,0.924,3.733,4.618,8.247
4.2,2.575,-4.183,12.875,-5.09,1.825,0.92,0.913,3.764,4.563,8.283
4.2,2.604,-4.17,13.022,-4.906,1.825,0.93,0.893,3.783,4.467,8.282
4.2,2.635,-4.111,13.177,-4.616,1.825,0.94,0.865,3.786,4.325,8.239
4.2,2.668,-3.994,13.341,-4.208,1.825,0.95,0.827,3.773,4.135,8.152
4.2,2.668,-3.798,13.34,-3.671,1.825,0.96,0.813,3.019,4.064,6.521
4.2,2.668,-3.494,13.34,-2.995,1.825,0.97,0.796,2.264,3.979,4.891
4.2,2.668,-3.029,13.339,-2.166,1.825,0.98,0.776,1.509,3.88,3.261
4.2,2.668,-2.272,13.338,-1.172,1.825,0.99,0.753,0.755,3.767,1.63
